Название,Адрес,Категория,Номер телефона,Cсылка
Suit&Tie прокат мужских костюмов и смокингов,"строение 1, Новослободская ул., 36/1",Аренда костюмов,+7 999 925-70-71,https://www.google.com/maps/place/Suit%26Tie+%D0%BF%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54bc90b429e5b:0xa13fdc00560d1456!8m2!3d55.7843827!4d37.5969387!16s%2Fg%2F11t2tq_qwg!19sChIJW55CC8lLtUYRVhQNVgDcP6E?authuser=0&hl=ru&rclk=1
Cacharel,"Ходынский б-р, 4",Магазин мужской одежды,+7 495 775-41-30,https://www.google.com/maps/place/Cacharel/data=!4m7!3m6!1s0x46b549bc5b1fe1db:0x599d7a71d30dead4!8m2!3d55.7903633!4d37.5300446!16s%2Fg%2F11c30p_w3v!19sChIJ2-EfW7xJtUYR1OoN03F6nVk?authuser=0&hl=ru&rclk=1
Ателье Morozov. Пошив мужской одежды на заказ,"Студенческая ул., 20",Магазин мужской одежды,+7 926 855-90-90,https://www.google.com/maps/place/%D0%90%D1%82%D0%B5%D0%BB%D1%8C%D0%B5+Morozov.+%D0%9F%D0%BE%D1%88%D0%B8%D0%B2+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%BD%D0%B0+%D0%B7%D0%B0%D0%BA%D0%B0%D0%B7/data=!4m7!3m6!1s0x46b54bc22d604bb9:0xec8ed71f9a1bca57!8m2!3d55.743342!4d37.5499671!16s%2Fg%2F11b7hjs0rl!19sChIJuUtgLcJLtUYRV8obmh_Xjuw?authuser=0&hl=ru&rclk=1
Albione,"Кировоградская ул., 13A",Магазин мужской одежды,+7 499 650-86-59,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x414ab28a8e4d8993:0xa689797e5ee2b93d!8m2!3d55.6124911!4d37.6081381!16s%2Fg%2F11g6b3dxn6!19sChIJk4lNjoqySkERPbniXn55iaY?authuser=0&hl=ru&rclk=1
BAUROTTI,"ул. Сущёвский Вал, 5, стр. 1",Магазин мужской одежды,+7 915 195-35-61,https://www.google.com/maps/place/BAUROTTI/data=!4m7!3m6!1s0x46b537e2d415c83d:0xbd5614e917d7619b!8m2!3d55.7950361!4d37.5923264!16s%2Fg%2F11c32gjy32!19sChIJPcgV1OI3tUYRm2HXF-kUVr0?authuser=0&hl=ru&rclk=1
MAGMEN,"ул. Ленина, 61/5",Магазин мужской одежды,+7 484 256-40-65,https://www.google.com/maps/place/MAGMEN/data=!4m7!3m6!1s0x4134bbd4072fd8d3:0x7a84b9a40610bfd6!8m2!3d54.5179246!4d36.2672452!16s%2Fg%2F12qf5d4c6!19sChIJ09gvB9S7NEER1r8QBqS5hHo?authuser=0&hl=ru&rclk=1
Porivay Suit,"Берсеневская набережная, 6 ст. 3",Магазин мужской одежды,+7 985 188-48-16,https://www.google.com/maps/place/Porivay+Suit/data=!4m7!3m6!1s0x46b54a9baec7c093:0x7800be19c0f0b8a4!8m2!3d55.7406616!4d37.6092567!16s%2Fg%2F11nntdskw0!19sChIJk8DHrptKtUYRpLjwwBm-AHg?authuser=0&hl=ru&rclk=1
KANZLER,Москва проспект Мира 211к2 ТРЦ Европолис,Магазин мужской одежды,+7 499 638-82-40,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b5369b7f150eb1:0x199c631c4821ccb5!8m2!3d55.8448991!4d37.6598303!16s%2Fg%2F1tcxbwgg!19sChIJsQ4Vf5s2tUYRtcwhSBxjnBk?authuser=0&hl=ru&rclk=1
Маскарадные костюмы,"ул. Железнодорожная, д. 39",Магазин одежды,+7 926 819-81-41,https://www.google.com/maps/place/%D0%9C%D0%B0%D1%81%D0%BA%D0%B0%D1%80%D0%B0%D0%B4%D0%BD%D1%8B%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x414aaeb319bc0001:0x78e93ea659a389d9!8m2!3d55.5034837!4d37.5634952!16s%2Fg%2F11ng2xz_lh!19sChIJAQC8GbOuSkER2YmjWaY-6Xg?authuser=0&hl=ru&rclk=1
KANZLER,"ТРЦ Океания, Кутузовский просп., 57",Магазин мужской одежды,+7 495 139-92-90,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54f2f161bf221:0x99792480bc82da2e!8m2!3d55.7278021!4d37.4766434!16s%2Fg%2F11fmrq5cm1!19sChIJIfIbFi9PtUYRLtqCvIAkeZk?authuser=0&hl=ru&rclk=1
EliteSuit - Прокат мужских костюмов и смокингов в Москве,"Сокольническая пл., 9А",Аренда костюмов,+7 999 887-55-30,https://www.google.com/maps/place/EliteSuit+-+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B2+%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5/data=!4m7!3m6!1s0x46b54b8a796f81e1:0x62da17781887a8f7!8m2!3d55.7904551!4d37.679759!16s%2Fg%2F11ppczpwf0!19sChIJ4YFveYpLtUYR96iHGHgX2mI?authuser=0&hl=ru&rclk=1
Большевичка,"Ленинградский проспект, д. 77/2, корп. 4",Магазин мужской одежды,+7 499 158-62-82,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b5484af6708055:0x60b12a81b5891b10!8m2!3d55.8052713!4d37.5094957!16s%2Fg%2F1tcvsjdk!19sChIJVYBw9kpItUYREBuJtYEqsWA?authuser=0&hl=ru&rclk=1
Милорд,"ул. Суворова, 112",Магазин мужской одежды,+7 484 279-19-99,https://www.google.com/maps/place/%D0%9C%D0%B8%D0%BB%D0%BE%D1%80%D0%B4/data=!4m7!3m6!1s0x4134bbd2eaa7d37d:0x8b005449ac53c6dc!8m2!3d54.5164541!4d36.2569461!16s%2Fg%2F12qgy6ft2!19sChIJfdOn6tK7NEER3MZTrElUAIs?authuser=0&hl=ru&rclk=1
Gents' Stuff,"Космодамианская наб., 52, стр.7",Магазин мужской одежды,+7 495 532-63-37,https://www.google.com/maps/place/Gents%27+Stuff/data=!4m7!3m6!1s0x46b54ae01a293555:0x91f85169216f71cb!8m2!3d55.734666!4d37.6458439!16s%2Fg%2F11cm49mhc2!19sChIJVTUpGuBKtUYRy3FvIWlR-JE?authuser=0&hl=ru&rclk=1
Strellson,"Пресненская наб., 2, 3, й этаж",Магазин мужской одежды,+7 926 387-24-29,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x46b54bdb8344607b:0x8467b19aaef28d59!8m2!3d55.7486145!4d37.5394724!16s%2Fg%2F1tdfrtqx!19sChIJe2BEg9tLtUYRWY3yrpqxZ4Q?authuser=0&hl=ru&rclk=1
Meucci,"ТЦ ""Европейский"", 3 этаж, пл. Киевского Вокзала, 2",Магазин мужской одежды,+7 495 228-08-73,https://www.google.com/maps/place/Meucci/data=!4m7!3m6!1s0x46b54bc78fa50d51:0xfaea44ad0d1396a8!8m2!3d55.7446675!4d37.5658937!16s%2Fg%2F1tfsrkgh!19sChIJUQ2lj8dLtUYRqJYTDa1E6vo?authuser=0&hl=ru&rclk=1
Sarto Reale,"ул. Мичуринский Проспект, Олимпийская деревня, 3, к.1",Магазин мужской одежды,+7 800 770-76-75,https://www.google.com/maps/place/Sarto+Reale/data=!4m7!3m6!1s0x46b54db5b4bcc0bb:0xebd71d79d877d131!8m2!3d55.677979!4d37.466888!16s%2Fg%2F11r9h5fbyp!19sChIJu8C8tLVNtUYRMdF32Hkd1-s?authuser=0&hl=ru&rclk=1
BML OUTLET VILLAGE «ВНУКОВО»,"деревня Лапшинка, дом 8 Outlet Village «Внуково» Москва",Магазин мужской одежды,+7 495 191-51-25,https://www.google.com/maps/place/BML+OUTLET+VILLAGE+%C2%AB%D0%92%D0%9D%D0%A3%D0%9A%D0%9E%D0%92%D0%9E%C2%BB/data=!4m7!3m6!1s0x46b553c96b48cf4d:0x7b174406eebbd556!8m2!3d55.6099818!4d37.3340157!16s%2Fg%2F11f66v8zwh!19sChIJTc9Ia8lTtUYRVtW77gZEF3s?authuser=0&hl=ru&rclk=1
Fabiani,ул. Бол. Серпуховская,Магазин одежды,+7 495 908-56-56,https://www.google.com/maps/place/Fabiani/data=!4m7!3m6!1s0x414aa8162db2f8e9:0x173f652950e33b59!8m2!3d55.419965!4d37.5478779!16s%2Fg%2F11gbwxvzly!19sChIJ6fiyLRaoSkERWTvjUCllPxc?authuser=0&hl=ru&rclk=1
ЭSTET,"ул. Профсоюзная, 129А, 2 этаж ТЦ Принц Плаза",Магазин мужской одежды,+7 929 507-51-63,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x46b54da069361bcd:0x129337e2aa390fc5!8m2!3d55.6186712!4d37.5069303!16s%2Fg%2F11g6xp421v!19sChIJzRs2aaBNtUYRxQ85quI3kxI?authuser=0&hl=ru&rclk=1
Albione,"Ленинский пр-т., д. 109",Магазин мужской одежды,+7 495 542-44-93,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54d1aac555555:0x78005e29882297fb!8m2!3d55.6637446!4d37.5110642!16s%2Fg%2F11gb3srx1d!19sChIJVVVVrBpNtUYR-5ciiCleAHg?authuser=0&hl=ru&rclk=1
MaxHause,"Кировоградская ул., 13A",Магазин мужской одежды,+7 495 795-16-95,https://www.google.com/maps/place/MaxHause/data=!4m7!3m6!1s0x414ab261c1ed21fb:0x957a995c3f6ed742!8m2!3d55.6124436!4d37.6062862!16s%2Fg%2F1ts1qsjc!19sChIJ-yHtwWGySkERQtduP1yZepU?authuser=0&hl=ru&rclk=1
Комильфо,"ул. Жуковского, 5",Магазин мужской одежды,+7 985 842-24-27,https://www.google.com/maps/place/%D0%9A%D0%BE%D0%BC%D0%B8%D0%BB%D1%8C%D1%84%D0%BE/data=!4m7!3m6!1s0x414abf4e7932caab:0x6baba25d3144cd76!8m2!3d55.5981091!4d38.1150737!16s%2Fg%2F11jk6hrqvp!19sChIJq8oyeU6_SkERds1EMV2iq2s?authuser=0&hl=ru&rclk=1
KANZLER,Москва площадь Киевского вокзала 2 ТРЦ Европейский,Магазин мужской одежды,+7 495 229-84-80,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54b344b633669:0x42f05ccb676167a3!8m2!3d55.7446675!4d37.5658937!16s%2Fg%2F11hzpndp6f!19sChIJaTZjSzRLtUYRo2dhZ8tc8EI?authuser=0&hl=ru&rclk=1
Стиль 5XL,"ТЦ “Фея Царское село, ул. Профсоюзная, 45",Магазин мужской одежды,+7 495 718-75-33,https://www.google.com/maps/place/%D0%A1%D1%82%D0%B8%D0%BB%D1%8C+5XL/data=!4m7!3m6!1s0x46b54cdeb5d22473:0x58aa2e0b422c26d1!8m2!3d55.6668354!4d37.5521534!16s%2Fg%2F11h0r3hsf!19sChIJcyTStd5MtUYR0SYsQgsuqlg?authuser=0&hl=ru&rclk=1
Uomo Collezioni,"Кутузовский просп., 2/1",Магазин мужской одежды,+7 495 933-61-40,https://www.google.com/maps/place/Uomo+Collezioni/data=!4m7!3m6!1s0x46b54bc4656cdbe1:0xdb1e95169890ff02!8m2!3d55.7513667!4d37.5654414!16s%2Fg%2F1tvgt01x!19sChIJ4dtsZcRLtUYRAv-QmBaVHts?authuser=0&hl=ru&rclk=1
КОМИЛЬФО - мужская Классика,"Советская ул., 14",Магазин одежды,+7 496 461-60-90,https://www.google.com/maps/place/%D0%9A%D0%9E%D0%9C%D0%98%D0%9B%D0%AC%D0%A4%D0%9E+-+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%9A%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0/data=!4m7!3m6!1s0x414abff748b8aa3b:0xd8eb75cdf8f6963d!8m2!3d55.566644!4d38.228466!16s%2Fg%2F11c2mdd_3c!19sChIJO6q4SPe_SkERPZb2-M1169g?authuser=0&hl=ru&rclk=1
Black Tie Club - Прокат смокингов и костюмов. Магазин смокингов и костюмов,"Неглинная ул., 29 строение 3",Магазин мужской одежды,+7 495 771-53-59,https://www.google.com/maps/place/Black+Tie+Club+-+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B8+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2.+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B8+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54b77cd472b03:0x4e32531c7081ead8!8m2!3d55.766885!4d37.619906!16s%2Fg%2F11j1mf6fdz!19sChIJAytHzXdLtUYR2OqBcBxTMk4?authuser=0&hl=ru&rclk=1
"Grande e Piccolo, пошив мужской одежды и обуви на заказ по индивидуальным меркам","Краснопресненская наб., 12",Магазин мужской одежды,+7 495 504-87-45,"https://www.google.com/maps/place/Grande+e+Piccolo,+%D0%BF%D0%BE%D1%88%D0%B8%D0%B2+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%B8+%D0%BE%D0%B1%D1%83%D0%B2%D0%B8+%D0%BD%D0%B0+%D0%B7%D0%B0%D0%BA%D0%B0%D0%B7+%D0%BF%D0%BE+%D0%B8%D0%BD%D0%B4%D0%B8%D0%B2%D0%B8%D0%B4%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%BC%D0%B5%D1%80%D0%BA%D0%B0%D0%BC/data=!4m7!3m6!1s0x46b54bd1d982101d:0x59746e9c8674297!8m2!3d55.754943!4d37.5570479!16s%2Fg%2F1hdz_0h87!19sChIJHRCC2dFLtUYRl0JnyOlGlwU?authuser=0&hl=ru&rclk=1"
OLYMP мужская одежда из Германии,"Ходынский б-р, д.4",Магазин мужской одежды,+7 495 587-49-90,https://www.google.com/maps/place/OLYMP+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B8%D0%B7+%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%B8%D0%B8/data=!4m7!3m6!1s0x46b549bdb4075269:0x529ce1faaf5f5e8c!8m2!3d55.7900166!4d37.5323317!16s%2Fg%2F11g69h8nxh!19sChIJaVIHtL1JtUYRjF5fr_rhnFI?authuser=0&hl=ru&rclk=1
Enrico Marinelli,"23-й км, 1, Киевское ш.",Магазин мужской одежды,,https://www.google.com/maps/place/Enrico+Marinelli/data=!4m7!3m6!1s0x46b553c2064910d7:0x557f4b772c5402c1!8m2!3d55.6238088!4d37.4229793!16s%2Fg%2F11fmh796cn!19sChIJ1xBJBsJTtUYRwQJULHdLf1U?authuser=0&hl=ru&rclk=1
BML,"ул. Земляной Вал, 33",Магазин мужской одежды,+7 495 151-30-71,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x46b54a8c535f0df7:0xb52a3991454fa900!8m2!3d55.757514!4d37.658786!16s%2Fg%2F11xs837fz!19sChIJ9w1fU4xKtUYRAKlPRZE5KrU?authuser=0&hl=ru&rclk=1
Sarto Reale,"ТРЦ ""Афимолл сити Пресненская набережная, 2,floor 3",Магазин мужской одежды,+7 903 725-19-93,https://www.google.com/maps/place/Sarto+Reale/data=!4m7!3m6!1s0x46b54bfde9c64e49:0x2478f45f4ac93ffd!8m2!3d55.7490354!4d37.5390141!16s%2Fg%2F11h2h2q0f7!19sChIJSU7G6f1LtUYR_T_JSl_0eCQ?authuser=0&hl=ru&rclk=1
Эsтет,"Московская обл Ленинский городской округ МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина, 1 этаж",Магазин мужской одежды,+7 929 507-50-37,https://www.google.com/maps/place/%D0%ADs%D1%82%D0%B5%D1%82/data=!4m7!3m6!1s0x5cc70ae328306279:0x6eb6875e09c4e568!8m2!3d55.5860303!4d37.7248601!16s%2Fg%2F1hhxcgmnr!19sChIJeWIwKOMKx1wRaOXECV6Htm4?authuser=0&hl=ru&rclk=1
Сударь,"Каширское ш., 83",Магазин одежды,+7 495 640-39-42,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aa58146a5061b:0x6b0dcc2c7f3e787b!8m2!3d55.4291268!4d37.7706666!16s%2Fg%2F11r_jd58ds!19sChIJGwalRoGlSkERe3g-fyzMDWs?authuser=0&hl=ru&rclk=1
Albione,"Ленинградское ш., 16А стр 4",Магазин мужской одежды,+7 495 782-40-47,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b5483ce9d029ed:0x2600da2a08eab142!8m2!3d55.822564!4d37.4967823!16s%2Fg%2F11dx9j6qng!19sChIJ7SnQ6TxItUYRQrHqCCraACY?authuser=0&hl=ru&rclk=1
elite-man,"Марксистская ул., 38",Магазин торжественной одежды,+7 926 719-40-60,https://www.google.com/maps/place/elite-man/data=!4m7!3m6!1s0x46b54adb837a1f5b:0x524b9261b53066a8!8m2!3d55.7338199!4d37.6666008!16s%2Fg%2F11r7np05z3!19sChIJWx96g9tKtUYRqGYwtWGSS1I?authuser=0&hl=ru&rclk=1
Khagani-man,"Страстной б-р, 6с1",Магазин одежды,+7 926 960-60-69,https://www.google.com/maps/place/Khagani-man/data=!4m7!3m6!1s0x46b54a4126b7ed95:0x50ef2bb1523e56c1!8m2!3d55.7658416!4d37.6088354!16s%2Fg%2F11gbtw3w6s!19sChIJle23JkFKtUYRwVY-UrEr71A?authuser=0&hl=ru&rclk=1
Сударь,"Чечерский пр., 51",Магазин одежды,+7 495 640-39-52,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aade79a8bfe65:0x662bd79c95197363!8m2!3d55.5236669!4d37.5179262!16s%2Fg%2F11qh38k2xl!19sChIJZf6LmuetSkERY3MZlZzXK2Y?authuser=0&hl=ru&rclk=1
BML,"ТЦ ""Европейский"", Галерея Pret-a-Porter, пл. Киевского Вокзала, 2, 1 этаж",Магазин мужской одежды,+7 495 921-34-44,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x46b54bc7896b6991:0x76ec27d382c85f72!8m2!3d55.7450264!4d37.566742!16s%2Fg%2F11rs18v4z!19sChIJkWlricdLtUYRcl_IgtMn7HY?authuser=0&hl=ru&rclk=1
Твой Костюм,"ул. Часовая, 24, стр. 2",Магазин мужской одежды,+7 495 411-74-68,https://www.google.com/maps/place/%D0%A2%D0%B2%D0%BE%D0%B9+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x46b549ccefcc3065:0xc1c6d8ff1e63c553!8m2!3d55.8102348!4d37.52429!16s%2Fg%2F12hlbp270!19sChIJZTDM78xJtUYRU8VjHv_YxsE?authuser=0&hl=ru&rclk=1
KANZLER,Котельники Новорязанское шоссе 8 Аутлет,Магазин мужской одежды,+7 495 775-48-33,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x414ab6521df13541:0x4875cb1df472cae3!8m2!3d55.6609493!4d37.8770092!16s%2Fg%2F11ddwzbs67!19sChIJQTXxHVK2SkER48py9B3LdUg?authuser=0&hl=ru&rclk=1
Sarto Reale,"пл. Киевского Вокзала, 2",Магазин мужской одежды,+7 800 770-76-75,https://www.google.com/maps/place/Sarto+Reale/data=!4m7!3m6!1s0x46b54bb87a36804b:0x1d9f67958eb86ba!8m2!3d55.7446675!4d37.5658937!16s%2Fg%2F11j7x74jd5!19sChIJS4A2erhLtUYRuobrWHn22QE?authuser=0&hl=ru&rclk=1
Albione,"ул. Земляной Вал, дом 33",Магазин мужской одежды,+7 495 970-11-80,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54a8c54bdf2e3:0x2490e6f24da9e85d!8m2!3d55.7577558!4d37.6590933!16s%2Fg%2F1pp2tj438!19sChIJ4_K9VIxKtUYRXeipTfLmkCQ?authuser=0&hl=ru&rclk=1
Vip-галстук.ру,"Холодильный пер., 3",Магазин мужской одежды,+7 495 955-27-12,https://www.google.com/maps/place/Vip-%D0%B3%D0%B0%D0%BB%D1%81%D1%82%D1%83%D0%BA.%D1%80%D1%83/data=!4m7!3m6!1s0x46b54b412c955ffb:0x6cb16d9ace24e57f!8m2!3d55.7096198!4d37.6248953!16s%2Fg%2F11bx87kktk!19sChIJ-1-VLEFLtUYRf-UkzpptsWw?authuser=0&hl=ru&rclk=1
Lexmer,"пр-т Мира, 211",Магазин мужской одежды,,https://www.google.com/maps/place/Lexmer/data=!4m7!3m6!1s0x46b5369afed7f6ef:0xbe26fcde5425fba1!8m2!3d55.8460955!4d37.66273!16s%2Fg%2F11dxdbcf3d!19sChIJ7_bX_po2tUYRofslVN78Jr4?authuser=0&hl=ru&rclk=1
Sarto Reale,"Ленинградское ш., 16а",Магазин мужской одежды,+7 800 770-76-75,https://www.google.com/maps/place/Sarto+Reale/data=!4m7!3m6!1s0x46b5483ce9cce1d1:0xf7e346eb89c02e5!8m2!3d55.8232148!4d37.4973632!16s%2Fg%2F11j7x73w_0!19sChIJ0eHM6TxItUYR5QKcuG40fg8?authuser=0&hl=ru&rclk=1
modoshop,"ул. Профсоюзная, 126 к.1",Магазин мужской одежды,+7 926 173-03-83,https://www.google.com/maps/place/modoshop/data=!4m7!3m6!1s0x46b54da0f6f73455:0xa2e6df90c751e23d!8m2!3d55.632551!4d37.5186199!16s%2Fg%2F11h817ztp8!19sChIJVTT39qBNtUYRPeJRx5Df5qI?authuser=0&hl=ru&rclk=1
"Good Suit’s, магазин мужских костюмов","пр. Ленина, 40",Магазин одежды,+7 487 274-05-25,"https://www.google.com/maps/place/Good+Suit%E2%80%99s,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x41343f54306ca06f:0x9dc16cab50d01ef4!8m2!3d54.1862219!4d37.6094224!16s%2Fg%2F11f67jk8bt!19sChIJb6BsMFQ_NEER9B7QUKtswZ0?authuser=0&hl=ru&rclk=1"
Truvor,"ул. Шаболовка, 10",Магазин одежды,+7 985 990-57-43,https://www.google.com/maps/place/Truvor/data=!4m7!3m6!1s0x46b54b120dbc9c61:0xd483a14d8095bab0!8m2!3d55.723534!4d37.610284!16s%2Fg%2F11r8sr8dp!19sChIJYZy8DRJLtUYRsLqVgE2hg9Q?authuser=0&hl=ru&rclk=1
ЭSTET,"ул. Перерва 43. 1, 2 этаж",Магазин мужской одежды,+7 929 507-51-35,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x414ab413cc203a65:0x791dda7a19622145!8m2!3d55.6592673!4d37.7481521!16s%2Fg%2F1tmz5h4h!19sChIJZTogzBO0SkERRSFiGXraHXk?authuser=0&hl=ru&rclk=1
Сударь,"ул. Ворошилова, 133А",Магазин одежды,+7 495 640-39-27,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x413511ccd233292b:0xc90a8aaa81373400!8m2!3d54.922154!4d37.437131!16s%2Fg%2F11rtrl114l!19sChIJKykz0swRNUERADQ3gaqKCsk?authuser=0&hl=ru&rclk=1
Mans Band,"ул. Пятницкая, 8",Магазин мужской одежды,+7 962 996-36-52,https://www.google.com/maps/place/Mans+Band/data=!4m7!3m6!1s0x46b54afeb8394905:0x1f48ac472c908edd!8m2!3d55.7440116!4d37.6276!16s%2Fg%2F11ph7x741x!19sChIJBUk5uP5KtUYR3Y6QLEesSB8?authuser=0&hl=ru&rclk=1
The Boys,"Тверская ул., 28, корпус 2, подъезд 3",Магазин мужской одежды,+7 916 851-75-31,https://www.google.com/maps/place/The+Boys/data=!4m7!3m6!1s0x46b54a3ec151ef31:0x73235f68426f62cf!8m2!3d55.769492!4d37.5984281!16s%2Fg%2F11csrxhptw!19sChIJMe9RwT5KtUYRz2JvQmhfI3M?authuser=0&hl=ru&rclk=1
Magnify,"ул. Кирова, 98",Магазин одежды,+7 920 094-98-98,https://www.google.com/maps/place/Magnify/data=!4m7!3m6!1s0x4134bbd07a663771:0x4cdce394e67eb6f8!8m2!3d54.5124854!4d36.2708359!16s%2Fg%2F11bv5rttwq!19sChIJcTdmetC7NEER-LZ-5pTj3Ew?authuser=0&hl=ru&rclk=1
Bond & Stinson,"Новая Басманная ул., 28 стр. 1",Портной,+7 499 653-55-64,https://www.google.com/maps/place/Bond+%26+Stinson/data=!4m7!3m6!1s0x46b54b96a325cf4b:0x11c18d11eb553e36!8m2!3d55.769566!4d37.6664614!16s%2Fg%2F12vsd6_zy!19sChIJS88lo5ZLtUYRNj5V6xGNwRE?authuser=0&hl=ru&rclk=1
Albione,"Новорязанское ш., 8",Магазин мужской одежды,+7 495 775-73-39,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x414ab64e100ea087:0x15a44d943b20d6fa!8m2!3d55.6596223!4d37.8791998!16s%2Fg%2F11cmyzbxp5!19sChIJh6AOEE62SkER-tYgO5RNpBU?authuser=0&hl=ru&rclk=1
ЭSTET,"Большая Тульская ул., 13, ТРЦ ""Ереван Плаза"", 2 этаж",Магазин мужской одежды,+7 929 507-53-13,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x46b54b414575bd8b:0x77a9f8672af423da!8m2!3d55.7082392!4d37.6217828!16s%2Fg%2F1pp2tj4wr!19sChIJi711RUFLtUYR2iP0Kmf4qXc?authuser=0&hl=ru&rclk=1
Добрыня - магазин мужской одежды больших размеров,"ул. Гарибальди, 23 Павильоны: 2п-104, 2п-102",Магазин одежды больших размеров,+7 499 397-73-94,https://www.google.com/maps/place/%D0%94%D0%BE%D0%B1%D1%80%D1%8B%D0%BD%D1%8F+-+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D1%85+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54defaded76e9:0x44aa27a60bb49eef!8m2!3d55.671472!4d37.553863!16s%2Fg%2F11j495qmyk!19sChIJ6Xbtre9NtUYR7560C6YnqkQ?authuser=0&hl=ru&rclk=1
